OID_,sidc_2525d,identity_,context,symbolset,symbolentity,modifier1,modifier2,specialentitysubtype,echelon,status,indicator,uniquedesignation,additionalinformation,staffcomment,higherformation,reinforced,combateffectiveness,credibility,reliability,idmode,specialheadquarters,direction,speed,speedunit,x,y,z,size,rotation,countrycode,datetimevalid,datetimeexpired,createdby,createdtime,editedby,editedtime,sidc_2525c,GlobalID,Xcoord,Ycoord,Zcoord,timefromstart
40,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{2176E48D-CDCE-4527-8C37-A2A60F20A404},-7911439.169299999251962,5212883.835000000894070,3.731400000004214,30.000000000000000
41,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{A108B8BD-D1D1-40A6-AC30-6287E47BA55F},-7911421.740900000557303,5212927.223099999129772,4.057300000000396,31.000000000000000
42,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{95FE25AD-58D1-4A7B-B997-2A15B259EAAB},-7911404.312500000000000,5212970.611100003123283,4.383199999996577,32.000000000000000
43,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{96223733-4E1C-452D-B075-B201CD14DE07},-7911386.884099999442697,5213013.999200001358986,4.709199999997509,33.000000000000000
44,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{53255974-1208-4CFE-AE0C-AC459003CEC0},-7911369.455700000748038,5213057.387299999594688,5.035099999993690,34.000000000000000
45,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{8C41A3E9-6866-4422-A9A7-B40B87EE5802},-7911352.027300000190735,5213100.775399997830391,5.361000000004424,35.000000000000000
46,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{AE0D7804-F25B-42A4-996C-7864BD770ABC},-7911334.598899999633431,5213144.163400001823902,5.686900000000605,36.000000000000000
47,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{794C6561-6CDD-47C1-963C-FABD600204DE},-7911317.170499999076128,5213187.551500000059605,6.012799999996787,37.000000000000000
48,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{35F5FD8F-2294-4F44-A06E-59B03302E157},-7911294.531500000506639,5213210.820100001990795,6.242400000002817,38.000000000000000
49,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{A787BB57-E09E-46F8-9B3B-8A306741F59E},-7911271.892599999904633,5213234.088600002229214,6.472099999999045,39.000000000000000
